MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
imitation	imitation	Imitation	Q1131737	https://www.wikidata.org/wiki/Q1131737	Imitation	Imitation	Nachahmung	DEL
imprimerie	printing	Druckwesen	Q11034	https://www.wikidata.org/wiki/Q11034	Imprimerie	printing	Buchdruck	DEL
inceste	incest	Inzest	Q127683	https://www.wikidata.org/wiki/Q127683	inceste	incest	Inzest	Seklit
individualisme	individualism	Individualismus	Q171995	https://www.wikidata.org/wiki/Q171995	individualisme	individualism	Individualismus	Seklit
industrialisation	industrialization	Industrialisierung	Q202398	https://www.wikidata.org/wiki/Q202398	Industrialisation	industrialization	Industrialisierung	DEL
inimitié	enmity	Feindschaft	Q5275945	https://www.wikidata.org/wiki/Q5275945	inimitié	enmity	Feindschaft	Seklit
inspiration	inspiration	Inspiration	Q196668	https://www.wikidata.org/wiki/Q196668	inspiration	Artistic inspiration	Inspiration	DEL
interaction	interaction	Interaktion	Q52948	https://www.wikidata.org/wiki/Q52948	interaction	interaction	Interaktion	Topic Modeling
ironie	irony	Ironie	Q131361	https://www.wikidata.org/wiki/Q131361	ironie	irony	Ironie	DEL
Islam	Islam	Islam	Q432	https://www.wikidata.org/wiki/Q432	Islam	Islam	Islam	DEL
Italie	Italy	Italien	Q38	https://www.wikidata.org/wiki/Q38	Italie	Italy	Italien	DEL
